lat,lon,deltaT,scenario
-88.57216851400727,200.625,1.0035858,Low Emissions
-88.57216851400727,202.5,1.0651093,Low Emissions
-88.57216851400727,204.375,1.1268005,Low Emissions
-88.57216851400727,206.25,1.1464844,Low Emissions
-88.57216851400727,208.125,1.1425781,Low Emissions
-88.57216851400727,210.0,1.1875,Low Emissions
-88.57216851400727,211.875,1.192215,Low Emissions
-88.57216851400727,213.75,1.2255859,Low Emissions
-88.57216851400727,215.625,1.1940155,Low Emissions
-88.57216851400727,217.5,1.2281952,Low Emissions
-88.57216851400727,219.375,1.1865234,Low Emissions
-88.57216851400727,221.25,1.2093048,Low Emissions
-88.57216851400727,223.125,1.2171326,Low Emissions
-88.57216851400727,225.0,1.2706757,Low Emissions
-88.57216851400727,226.875,1.2548828,Low Emissions
-88.57216851400727,228.75,1.2275391,Low Emissions
-88.57216851400727,230.625,1.2395782,Low Emissions
-88.57216851400727,232.5,1.2607422,Low Emissions
-88.57216851400727,234.375,1.2111053,Low Emissions
-88.57216851400727,236.25,1.2428436,Low Emissions
-88.57216851400727,238.125,1.2093201,Low Emissions
-88.57216851400727,240.0,1.1875,Low Emissions
-88.57216851400727,241.875,1.1824493,Low Emissions
-88.57216851400727,243.75,1.1552734,Low Emissions
-88.57216851400727,245.625,1.1150665,Low Emissions
-88.57216851400727,247.5,1.1157227,Low Emissions
-88.57216851400727,249.375,1.1022034,Low Emissions
-88.57216851400727,251.25,1.0753632,Low Emissions
-88.57216851400727,253.125,1.0812225,Low Emissions
-88.57216851400727,255.0,1.0541992,Low Emissions
-88.57216851400727,256.875,1.0017853,Low Emissions
-88.57216851400727,258.75,1.0079803,Low Emissions
-88.57216851400727,260.625,0.98583984,Low Emissions
-88.57216851400727,262.5,0.9723358,Low Emissions
-88.57216851400727,264.375,1.0014648,Low Emissions
-88.57216851400727,266.25,0.9746094,Low Emissions
-88.57216851400727,268.125,1.0055237,Low Emissions
-88.57216851400727,270.0,0.99967957,Low Emissions
-88.57216851400727,271.875,0.97802734,Low Emissions
-88.57216851400727,273.75,0.9628906,Low Emissions
-88.57216851400727,275.625,0.9446564,Low Emissions
-88.57216851400727,277.5,0.9811249,Low Emissions
-88.57216851400727,279.375,0.9381561,Low Emissions
-88.57216851400727,281.25,0.9781952,Low Emissions
-88.57216851400727,283.125,0.970871,Low Emissions
-88.57216851400727,285.0,0.9580078,Low Emissions
-88.57216851400727,286.875,0.9707031,Low Emissions
-88.57216851400727,288.75,0.9280548,Low Emissions
-88.57216851400727,290.625,0.9169922,Low Emissions
-88.57216851400727,292.5,0.9044647,Low Emissions
-88.57216851400727,294.375,0.8889923,Low Emissions
-88.57216851400727,296.25,0.8642578,Low Emissions
-88.57216851400727,298.125,0.8577423,Low Emissions
-88.57216851400727,300.0,0.84262085,Low Emissions
-88.57216851400727,301.875,0.813797,Low Emissions
-88.57216851400727,303.75,0.80859375,Low Emissions
-88.57216851400727,305.625,0.7771759,Low Emissions
-88.57216851400727,307.5,0.7626953,Low Emissions
-88.57216851400727,309.375,0.7441406,Low Emissions
-88.57216851400727,311.25,0.7374573,Low Emissions
-88.57216851400727,313.125,0.71484375,Low Emissions
-88.57216851400727,315.0,0.7067108,Low Emissions
-88.57216851400727,316.875,0.69711304,Low Emissions
